article_id,title,url_category,uc_tags,search_eligible,mapping_method,token_estimate,source_url
ka4P2000000021pIAA,Product Safety Statement,General_Policies,UC-FP,True,url_category,137,https://help.gumtree.com/s/policies?cat=General_Policies&article=Product-Safety-Statement
ka4P200000001AbIAI,Property Scams,,UC-E,True,title_keyword,660,
ka4P200000001DpIAI,Report Reply,,UC-E|UC-FP,True,title_keyword,297,
ka4P200000000b7IAA,Reporting Banner Adverts on Gumtree,,UC-E|UC-FP,True,title_keyword,664,
ka4P200000000o1IAA,Protecting Pets by Making Our Pets Category Harder to Use - 2023 Statement,,UC-B|UC-FP,True,title_keyword,692,
ka44J000000CupTQAS,Dealer Auction - Terms of Use,,UC-B,True,title_keyword,5707,
ka44J000000PUMOQA4,Delivery Scams,,UC-E,True,title_keyword,369,
ka4P200000004WfIAI,How can we help you?,,UC-D,True,content_keyword,304,
ka4P200000004jZIAQ,The new Gumtree app explained,,UC-E,True,title_keyword,769,
ka4P2000000032jIAA,Gumtree Complaints Process,,UC-E|UC-FP,True,title_keyword,1077,
ka4P2000000062DIAQ,Commercial Moderation - New Business Check List,,UC-B,True,title_keyword,449,
ka4P2000000063pIAA,Commercial Moderation - Renewals Checklist,,UC-B,True,title_keyword,278,
ka41r000000LI6JAAW,Complaints Procedure - Step 3 - Cheapside Address,,UC-E|UC-FP,True,title_keyword,104,
ka41r000000LIEJAA4,(temp) Ad removed - By CS (general),,UC-B,True,title_keyword,184,
ka41r000000LIEEAA4,(temp) NTD Ad Removed Information,,UC-B,True,title_keyword,326,
ka44J000000gL5yQAE,What are features?,Promoting_Ads,UC-F,True,url_category,315,https://help.gumtree.com/s/payments-promotions?cat=Promoting_Ads&article=Benefits-of-Promoting-Ads
ka4P200000001qXIAQ,Gumtree Recruitment Scams,,UC-E,True,title_keyword,440,
ka44J000000gL3sQAE,Staying Safe in Motors,Types_of_Scams,UC-E,True,url_category,616,https://help.gumtree.com/s/safety?cat=Types_of_Scams&article=Vehicle-Scams
ka44J000000TbbtQAC,Staying Safe in Community,,UC-E,True,title_keyword,575,
ka44J000000gL3nQAE,Staying Safe in For Sale,Safely_Buying_Selling,UC-E,True,url_category,588,https://help.gumtree.com/s/safety?article=Safe-Payments&cat=Safely_Buying_Selling
ka44J000000TbboQAC,Staying Safe in Property,,UC-B,True,title_keyword,642,
ka44J000000TbbjQAC,Staying Safe in Services,,UC-B,True,title_keyword,572,
ka44J000000gKqjQAE,Waste Removal Services Advice,Safely_Buying_Selling,UC-E,True,url_category,537,https://help.gumtree.com/s/safety?cat=Safely_Buying_Selling&article=Waste-Removal-Services-Advice
ka44J000000gKrhQAE,Animals with Extreme Conformations,Pets_Policies,UC-B|UC-FP,True,url_category,229,https://help.gumtree.com/s/policies?article=Animals-with-Extreme-Conformations&cat=Pets_Policies
ka44J000000CuopQAC,Dealer Auction - Collections FAQs,,UC-B,True,title_keyword,698,
ka44J000000gL2aQAE,Contact Gumtree - Business Development,Advertising_a_Business,UC-B,True,url_category,23,https://help.gumtree.com/s/payments-promotions?cat=Advertising_a_Business&article=Business-Development-on-Gumtree
ka44J000000CupJQAS,Dealer Auction - General FAQ's,,UC-B,True,title_keyword,1110,
ka44J000000gKv5QAE,My Ad was Removed,Ad_Issues,UC-A|UC-B,True,url_category,342,https://help.gumtree.com/s/technical-issues?cat=Ad_Issues&article=My-Ad-was-Removed
ka44J000000TbZsQAK,Getting it right: Being safe on Gumtree,,UC-E,True,title_keyword,575,
ka44J000000gKtTQAU,Gumtree Tax Strategy,General_Policies,UC-FP,True,url_category,808,https://help.gumtree.com/s/policies?cat=General_Policies&article=Gumtree-Tax-Strategy
ka4P200000002t3IAA,Policies in Pets,Pets_Policies,UC-B|UC-FP,True,url_category,832,https://help.gumtree.com/s/policies?cat=Pets_Policies&article=Pets-Policies
ka4P2000000054XIAQ,Pets Policies,Pets_Policies,UC-B|UC-FP,True,url_category,927,https://help.gumtree.com/s/policies?article=Pets-Policies&cat=Pets_Policies
ka44J000000gKzRQAU,I Can't Connect to Live Chat,Other_Errors,UC-E|UC-K,True,url_category,166,https://help.gumtree.com/s/technical-issues?cat=Other_Errors&article=I-Can-t-Connect-to-Live-Chat
ka44J000000gKyxQAE,I Can’t Click Buttons or Enter Information,Other_Errors,UC-E|UC-K,True,url_category,141,https://help.gumtree.com/s/technical-issues?cat=Other_Errors&article=I-Can-t-Click-Buttons-or-Enter-Information
ka4Pz000002GHGfIAO,Business Development on Gumtree,Advertising_a_Business,UC-B,True,url_category,23,https://help.gumtree.com/s/payments-promotions?cat=Advertising_a_Business&article=Business-Development-on-Gumtree
ka4P200000006a5IAA,Making a Complaint,,UC-E|UC-FP,True,title_keyword,505,
ka4P200000001vNIAQ,Reporting a General Welfare Concern,Reporting_Bad_Activity,UC-E|UC-FP,True,url_category,93,https://help.gumtree.com/s/safety?cat=Reporting_Bad_Activity&article=Reporting-a-General-Welfare-Concern
ka4P200000001wzIAA,Report an Animal Welfare Concern,Reporting_Bad_Activity,UC-E|UC-FP,True,url_category,101,https://help.gumtree.com/s/safety?cat=Reporting_Bad_Activity&article=Report-an-Animal-Welfare-Concern
ka44J000000gKu2QAE,Report a Violation of Intellectual Property,Reporting_Bad_Activity,UC-E|UC-FP,True,url_category,112,https://help.gumtree.com/s/safety?cat=Reporting_Bad_Activity&article=Report-a-Violation-of-Intellectual-Property
ka44J000000gL1SQAU,Notice of take down programme,Reporting_Bad_Activity,UC-E|UC-FP,True,url_category,112,https://help.gumtree.com/s/safety?cat=Reporting_Bad_Activity&article=Report-a-Violation-of-Intellectual-Property
ka44J000000gL0UQAU,Responsible Disclosure,Keeping_Your_Information_Safe,UC-E,True,url_category,191,https://help.gumtree.com/s/safety?cat=Keeping_Your_Information_Safe&article=Responsible-Disclosure2
ka4P200000003PJIAY,Responsible Disclosure,Keeping_Your_Information_Safe,UC-E,True,url_category,1550,https://help.gumtree.com/s/safety?cat=Keeping_Your_Information_Safe&article=Responsible-Disclosure2
ka44J000000gLB3QAM,How to Contact Us by Live Chat,What_s_New_at_Gumtree,UC-E,True,url_category,187,https://help.gumtree.com/s/basics?cat=What_s_New_at_Gumtree&article=How-to-Contact-Us-by-Live-Chat
ka44J000000gKqtQAE,Where is my Ad?,Ad_Issues,UC-A|UC-B,True,url_category,388,https://help.gumtree.com/s/technical-issues?cat=Ad_Issues&article=Where-Is-My-Ad
ka44J000000gKaMQAU,Health & Beauty Services,,UC-B,True,title_keyword,318,
ka44J000000gLBhQAM,Online Survey Jobs,,UC-B,True,title_keyword,708,
ka44J000000gKuHQAU,Unsupported Android App Versions,Troubleshooting,UC-E|UC-K,True,url_category,64,https://help.gumtree.com/s/technical-issues?cat=Troubleshooting&article=Unsupported-Android-App-Versions
ka4P200000002hlIAA,Posting Policies,Posting_Policies,UC-B|UC-FP,True,url_category,753,https://help.gumtree.com/s/policies?cat=Posting_Policies&article=General-Posting-Policies2
ka44J000000gKv0QAE,Why Wasn’t My Ad Bumped Up?,Features,UC-B|UC-F,True,url_category,290,https://help.gumtree.com/s/payments-promotions?cat=Features&article=Bump-Up-Feature
ka4P200000001TxIAI,Fixing Browser Issues,Troubleshooting,UC-E|UC-K,True,url_category,362,https://help.gumtree.com/s/technical-issues?cat=Troubleshooting&article=Fixing-Browser-Issues2
ka4P200000001VZIAY,Fixing Browser Issues,Troubleshooting,UC-E|UC-K,True,url_category,257,https://help.gumtree.com/s/technical-issues?cat=Troubleshooting&article=Fixing-Browser-Issues2
ka44J000000gKwcQAE,Masked Email Addresses,Keeping_Your_Information_Safe,UC-E,True,url_category,502,https://help.gumtree.com/s/safety?cat=Keeping_Your_Information_Safe&article=Masked-Email-Addresses2
ka44J000000gL26QAE,Features for Job Ads,Category_Specific_Policies,UC-B|UC-FP,True,url_category,552,https://help.gumtree.com/s/policies?cat=Category_Specific_Policies&article=Jobs-Policies
ka44J000000gKtJQAU,GDPR,General_Policies,UC-FP|UC-G,True,url_category,2829,https://help.gumtree.com/s/policies?cat=General_Policies&article=GDPR
ka44J000000gKpqQAE,GDPR,General_Policies,UC-FP|UC-G,True,url_category,2986,https://help.gumtree.com/s/policies?cat=General_Policies&article=GDPR
ka4P200000000xhIAA,Reply Code of Conduct,General_Policies,UC-FP,True,url_category,362,https://help.gumtree.com/s/policies?article=Ad-Reply-Code-of-Conduct2&cat=General_Policies
ka44J000000TbcDQAS,Where is the work wanted section?,,UC-B,True,content_keyword,75,
ka44J000000gKxBQAU,Bump Up Feature,Features,UC-B|UC-F,True,url_category,274,https://help.gumtree.com/s/payments-promotions?cat=Features&article=Bump-Up-Feature
ka44J000000gKzCQAU,I Can't Find My Spotlight Ad,Features,UC-B|UC-F,True,url_category,275,https://help.gumtree.com/s/payments-promotions?cat=Features&article=Spotlight-Feature
ka44J000000gKx6QAE,Spotlight Feature,Features,UC-B|UC-F,True,url_category,331,https://help.gumtree.com/s/payments-promotions?cat=Features&article=Spotlight-Feature
ka44J000000gKxLQAU,Urgent Feature,Features,UC-B|UC-F,True,url_category,224,https://help.gumtree.com/s/payments-promotions?cat=Features&article=Urgent-Feature
ka44J000000gKx1QAE,Featured Ads,Features,UC-B|UC-F,True,url_category,375,https://help.gumtree.com/s/payments-promotions?cat=Features&article=Featured-Ads
ka44J000000gKvAQAU,URL Feature,Features,UC-B|UC-F,True,url_category,283,https://help.gumtree.com/s/payments-promotions?cat=Features&article=URL-Feature
ka4P200000004q1IAA,How to Promote an Ad,Promoting_Ads,UC-F,True,url_category,432,https://help.gumtree.com/s/payments-promotions?cat=Promoting_Ads&article=How-to-Promote-an-Ad
ka4P200000004LNIAY,How to Edit an Ad,Managing_Ads,UC-B,True,url_category,613,https://help.gumtree.com/s/basics?cat=Managing_Ads&article=How-to-Edit-an-Ad
ka44J000000gL0KQAU,How do I edit an ad?,Managing_Ads,UC-B,True,url_category,617,https://help.gumtree.com/s/basics?cat=Managing_Ads&article=How-to-Edit-an-Ad
ka44J000000gKxqQAE,How to change your email address,Account_Issues,UC-D,True,url_category,263,https://help.gumtree.com/s/technical-issues?cat=Account_Issues&article=Changing-Your-Account-Email
